title,price,rating,availability,url,description,genre,target_audience
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Since her assault, Miss Annette Chetwynd has been plagued by nightmares and worries about an arranged marriage. But she yearns to find her anonymous rescuer. Unfortunately, her health and intellect prevent it. Both repel suitors and cause Annette to doubt God's existence, at least until He answers her prayers in an unusual way ... Mr. Peter Adsley is joining the clergy, and he desires a godly wife by his side. After his failed attempt to obtain one, he engages in a clandestine meeting with the bewitching young woman who keeps crossing his path. But she is so unsettling. Destined for disappointments, Peter and Annette",Romance,Adult
Shakespeare's Sonnets,20.66,4,In stock,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,"This book is an important and complete collection of the Sonnets of William Shakespeare. Most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent Sonnets which were written around the same period. This is an excellent, complete collection of the Sonnets and poetry of William Shakespeare and should not be missed by those interested in the completion of a collection of his writings and those interested in early poetic works.",Poetry,Adult
Set Me Free,17.46,5,In stock,http://books.toscrape.com/catalogue/set-me-free_988/index.html,"Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his family’s expectations. When he meets Jonas “Lucky” Luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and the chance at true love.",Romance,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,"Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's 'between jobs' and he's dating a cute high school girl. Nothing could possibly go wrong, unless a seriously mind-blowing, dangerously fashionable, rollerblading delivery girl named Ramona Flowers starts cruising through his dreams and sailing by him at parties. Will Scott's awesome life get turned upside-down? Will he have to face Ramona's seven evil ex-boyfriends in battle? The short answer is yes. The long answer is Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Graphic Novel,Young Adult
Rip it Up and Start Again,35.02,5,In stock,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,"Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. RIP IT UP AND START AGAIN is a celebration of what happened next. Post-punk bands like PiL, Joy Division, Talking Heads, The Fall and The Human League dedicated themselves to fulfilling punk's unfinished musical revolution. The post-punk groups were fervent modernists; whether experimenting with electronics and machine rhythm or adapting ideas from dub reggae and disco, they were totally confident they could invent a whole new future for music.",Non-Fiction,Adult
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"This is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized American rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and immensely influential. This sweeping chronicle of music, politics, drugs, fear, loathing, and faith has been recognized as an indie rock classic in its own right. Among the bands profiled: Mission of Burma, Butthole Surfers, The Minutemen, Sonic Youth,",Non-Fiction,Adult
Olio,23.88,1,In stock,http://books.toscrape.com/catalogue/olio_984/index.html,"Part fact, part fiction, Tyehimba Jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded African American performers directly before and after the Civil War up to World War I. Olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.",Fiction,Adult
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,"Andrew Barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the English language. In doing so, he found what is possibly the first science fiction story by a female (and it is not from Mary Shelley). Andrew located the first steampunk short story, which has not been republished since 1844. There is the first voyage to the moon in a balloon, republished for the first time since 1820 that further tells of a darkness machine and a lunarian named Zuloc. Other sci-stories include the first r",Science Fiction,Adult
Libertarianism for Beginners,51.33,2,In stock,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,"Libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. If libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling them what to do or how to live. A political and economic philosophy as old as John Locke and John Stuart Mill, but as alive and timely as Rand Paul, the Tea Party, and the novels of Ayn Rand, libertarianism emphasizes individual rights and calls for a",Non-Fiction,Adult
It's Only the Himalayas,45.17,2,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,"“Wherever you go, whatever you do, just . . . don’t do anything stupid.” —My MotherDuring her yearlong adventure backpacking from South Africa to Singapore, S. Bedford definitely did a few things her mother might classify as ""stupid."" She swam with great white sharks in South Africa, ran from lions in Zimbabwe, climbed a Himalayan mountain without training in Nepal, and watched as her friend was attacked by a monkey in Indonesia. But interspersed in those slightly more crazy moments, Sue Bedfored and her friend ""Sara the Stoic"" experienced the sights, sounds, life, and culture of fifteen countries. Joined along the wa",Non-Fiction,Adult
In Her Wake,12.84,1,In stock,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,"A perfect life … until she discovered it wasn’t her own. A tragic family event reveals devastating news that rips apart Bella’s comfortable existence. Embarking on a personal journey to uncover the truth, she faces a series of traumatic discoveries that take her to the ruggedly beautiful Cornish coast, where hidden truths, past betrayals and a 25-year-old mystery threaten not just her identity, but also her life. Chilling, complex and profoundly moving, In Her Wake is a gripping psychological thriller that questions the nature of family – and reminds us that sometimes the most shocking crimes are committed closest to home.",Thriller,Adult
How Music Works,37.32,2,In stock,http://books.toscrape.com/catalogue/how-music-works_979/index.html,"How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a lifetime thinking about. In it he explores how profoundly music is shaped by its time and place, and he explains how the advent of recording technology in the twentieth century forever changed our relationship to playing, performing, and listening to music. Acting as historian and anthropologist, raconteur and social scientist, he searches for patterns—and shows how those patterns have affected his own work over the years with Talking Heads and his many collaborators, from Brian Eno to Caetano Veloso. Byrne sees music as pa",Non-Fiction,Adult
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Canning perfected the America’s Test Kitchen way. The art of preserving produce by canning and preserving has come full circle from grandmother's kitchen to a whole new generation now eager to learn it. This detailed guide to home preserving is perfect for novice canners and experts alike and offers more than 100 foolproof recipes across a wide range of categories, from sweet jams and jellies to savory jams, vegetables, condiments, pickles, whole fruits, and more. Let the experts at America's Test Kitchen show you how to do it right with detailed tutorials, troubleshooting tips, equipment information, and insight into the process.",Non-Fiction,Adult
Chase Me (Paris Nights #2),25.27,5,In stock,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,"A Michelin two-star chef at twenty-eight, Violette Lenoir could handle anything, including a cocky burglar who broke into her restaurant in the middle of the night. Or so she thought. Elite counterterrorist operative Chase “Smith” had been through things that made Hell Week look easy. But nothing had prepared him for a leather-clad blonde who held him at bay at knifepoint and dared him to take her on. Now if only saving the world didn’t require he ruin her life. Two people who thought they could handle anything now have to take on each other. It's a battle neither one expected. But with their futures on the line, they ha",Fiction,Adult
Black Dust,34.53,5,In stock,http://books.toscrape.com/catalogue/black-dust_976/index.html,"No matter how busy he keeps himself, successful Broadway musician Tobias Spence can’t outrun the memory of a tragic car crash from his past that claimed a friend’s life and permanently injured his former boyfriend, Emmett. Even after losing Tobias, Emmett Henderson made peace with that awful night, living in his Indiana hometown where he has become a revered choral director. When his students are asked to perform in New York City, he decides to chance reconnecting with his former love, if for no other reason than to get a proper goodbye. When Emmett and Tobias finally meet 15 years after parting ways, it is clear to bo",Romance,Adult
Birdsong: A Story in Pictures,54.64,3,In stock,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,"Bring the thrilling story of one red bird to life. When an innocent bird meets two cruel kids, their world is forever changed. But exactly how that change unfolds is up to you, in the tradition of Kamishibai—Japanese paper theater. The wordless story by master cartoonist James Sturm is like a haiku—the elegant images leave space for children to inhabit this timeless tale—and make it their own, leading them to learn an ultimate lesson they'll never forget.James Sturm is the author of several books for kids including the Adventures in Cartooning series (with Andrew Arnold and Alexis Frederick-Frost) and the forthcoming",Children,Children
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,"Any fan of the Baltimore Colts of my era, any fan of my friend and teammate Johnny Unitas, or, for that matter, any fan of football in general should enjoy Wayne Stewart's book. It contains great stories, statistics, and information on all of the many great quarterbacks who came out of Western Pennsylvania and much more. Raymond Berry NFL Hall of Fame Wide Receiver It’s well known that the NFL has been dominated through the years by quarterbacks sown and grown in a relatively small area surrounding the city of Pittsburgh in Western Pennsylvania. In America’s Cradle of Quarterbacks, author Wayne Stewart not only tells",Non-Fiction,Adult
Aladdin and His Wonderful Lamp,53.13,3,In stock,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,"Planning on seeing Aladdin the Disney musical? Read the classic story of ""Aladdin and his Wonderful Lamp"" in this sparkling new edition by Harpendore. Synopsis: Aladdin is a poor boy who lives with his mother in the ancient kingdom of Cathay. One day a strange man appears offering untold riches! Aladdin is not so sure, yet he's sorely tempted. Join Aladdin on his incredible adventures and visit the cave of treasures. A world of magic awaits you, but watch your step - there's mischief lurking at every turn!",Fantasy,Children
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,"Anti-apartheid activist, Bollywood screenwriter, Nazi pin-up, hero of the Wild West: this is Shakespeare as you have never seen him before. From the sixteenth-century Baltic to the American Revolution, from colonial India to the skyscrapers of modern-day Shanghai, Shakespeare’s plays appear at the most fascinating of times and in the most unexpected of places. No other writer’s work has been performed, translated, adapted and altered in such a remarkable variety of cultures and languages. But what is it about William Shakespeare – a man from Warwickshire who never once set foot outside England – that has made him at h",Biography,Adult
Wall and Piece,44.18,4,In stock,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,"Banksy, Britain's now-legendary ""guerilla"" street artist, has painted the walls, streets, and bridges of towns and cities throughout the world. Not only did he smuggle his pieces into four of New York City's major art museums, he's also ""hung"" his work at London's Tate Gallery and adorned Israel's West Bank barrier with satirical images. Banksy's identity remains unknown, but his work is unmistakable—with prints selling for as much as $45,000.",Biography,Adult
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,"In The Four Agreements, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. The Four Agreements are: Be Impeccable With Your Word, Don't Take Anything Personally, Don't Make Assumptions, Always Do Your Best.",Self-Help,Adult
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,"Are you and your spouse speaking the same language? While love is a many splendored thing, it is sometimes a very confusing thing, too. And as people come in all varieties, shapes, and sizes, so do their choices of personal expressions of love. But more often than not, the giver and the receiver express love in two different ways. This can lead to misunderstanding, quarrels, and even divorce. Quality time, words of affirmation, gifts, acts of service, and physical touch are the five basic love languages. Dr. Gary Chapman identifies these and guides couples towards a better understanding of their unique languages of love.",Self-Help,Adult
The Elephant Tree,23.82,5,In stock,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,"Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. Scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. Angela is an attractive 23 year old, raised by her father, a career criminal and small time drug dealer who supplies Scott with cannabis. This is a chilling tale spanning a few months in the lives of Scott and Angela, where realizations about the present combine with shocking revelations from the past leading to an apocalyptic climax where t",Thriller,Adult
The Bear and the Piano,36.89,1,In stock,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,"One day, a young bear stumbles upon something he has never seen before in the forest. As time passes, he teaches himself how to play the strange instrument, and eventually the beautiful sounds are heard by a father and son who are picnicking in the woods. The bear goes with them on an incredible journey to New York, where his piano playing makes him a huge star. He has fame, fortune and all the music in the world, but he misses the friends and family he has left behind. A moving tale of exploration and belonging from an exciting debut author-illustrator.",Children,Children
Sophie's World,15.94,5,In stock,http://books.toscrape.com/catalogue/sophies-world_966/index.html,"A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophie’s World has fired the imagination of readers all over the world, with more than twenty million copies in print. One day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: “Who are you?” and “Where does the world come from?” From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond what she knows of her Norwegian village. Through those letters, she enrolls in a kind of correspondence course, covering Socr",Fiction,Young Adult
Penny Maybe,33.29,3,In stock,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,"Sent to yet another foster family, Penny decides that the way to claim a sense of self is to swim Lake Ontario. Although this seems impossible, she finds the courage to ask her physics teacher to be her coach, and wins the support of her new foster mother.",Fiction,Young Adult
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,"This new edition of Maude (1883-1993) has been updated by Mardo Williams’ daughters, adding historical details their dad wished to make, twice as many photos, and nine appendices not present in the 1996 hardcover (which won an Ohioana Library Award for its author). During her 110-year lifetime, Maude went from a 400-lb. wood-burning stove to a microwave oven, from an outdoor privy to indoor plumbing. She got the vote in 1920 and voted in the next 18 Presidential elections. With poetry and human dramas (two murders and a suicide), written by a master journalist, the book shows the impact of the changing times on shy, u",Biography,Adult
"In a Dark, Dark Wood",19.63,1,In stock,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"In a dark, dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school one day and never went back. There was a dark, dark houseUntil, out of the blue, an invitation to Clare’s hen do arrives. Is this a chance for Nora to finally put her past behind her?And in the dark, dark house there was a dark, dark roomBut something goes wrong. Very wrong.",Thriller,Adult
Behind Closed Doors,52.22,4,In stock,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,"The 2016 debut bloggers can't stop raving about. Perfect for fans of The Girl on the Train and The Ice Twins Everyone knows a couple like Jack and Grace. He has looks and wealth, she has charm and elegance. You might not want to like them, but you do. Though, you’d like to get to know Grace better. But it’s difficult, because you realise Jack and Grace are never apart. Some might call this true love. Others might ask why Grace never answers the phone. Or how she can never meet for coffee, even though she doesn’t work. How she can cook such elaborate meals but remain so slim. And why there are bars on one of the bedroom wi",Thriller,Adult
You can't bury them all: Poems,33.63,2,In stock,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,"A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the Kurdish north of Iraq, Fort Good Hope in the Northwest Territories, and Azerbaijan. His powerful new collection offers a poetry that simultaneously explores hope and horror while documenting the transformative processes of coping. You can’t bury them all follows the narratives we construct to survive the tragic failures of our humanity to their very end: everything that’s buried by snow, dirt, and ash, just like everything that’s",Poetry,Adult
Slow States of Collapse: Poems,57.31,3,In stock,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,"In her debut collection, Ashley-Elizabeth Best explores the cultivation of resilience during uncertain and often trying times. It’s a book built around day-to-day conflicts — poems about love, family, grief, power, and longing. Navigating the fault lines of popular culture and traditional poetry to assert that we are all history makers, Slow States of Collapse enters the landscape of personal narrative in an attempt to reconcile life’s little universal griefs. Slow States of Collapse presents a world that is at once menacing and full of wonder.",Poetry,Adult
Reasons to Stay Alive,26.41,2,In stock,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,"I want life. I want to read it and write it and feel it and live it. I want, for as much of the time as possible in this blink-of-an-eye existence we have, to feel all that can be felt. I hate depression. I am scared of it. Terrified, in fact. But at the same time, it has made me who I am. And if - for me - it is the price of feeling life, it's a price always worth paying. Reasons to Stay Alive is about making the most of your time on earth. In the western world the suicide rate is highest amongst men under the age of 35. Matt Haig could have added to that statistic when, aged 24, he found himself staring at a cliff-e",Non-Fiction,Adult
Private Paris (Private #10),47.61,5,In stock,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,"Paris is burning--and only Private's Jack Morgan can put out the fire. When Jack Morgan stops by Private's Paris office, he envisions a quick hello during an otherwise relaxing trip filled with fine food and sightseeing. But Jack is quickly pressed into duty after a call from his client Sherman Wilkerson, asking Jack to track down his young granddaughter who is on the run from a brutal drug dealer. Before Jack can locate her, several members of France's cultural elite are found dead--murdered in stunning, symbolic fashion. The only link between the crimes is a mysterious graffiti tag. As religious and ethnic tensions s",Thriller,Adult
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,"There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all those waking up spiritually in this digital age. This book is a guide to love, connection, and kickass surrendered action for young people who have at least a toe in the door of spirituality. With a no-nonsense approach and full of wit and humor, this book shares age-old concepts in a language that is accessible to the modern spiritual audience. Whether you have just bought a yoga mat or have been meditating for years, this book will offer you guidance and support, whatever stage of the journey you're at.",Self-Help,Young Adult
Without Borders (Wanderlove #1),45.07,2,In stock,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,"For Annie London, a month in a Central American rainforest means handing out mosquito nets, giving medical aid, and teaching children about the birds and the bees. With any luck, it will also land her application in the “accepted” pile at a top tier medical school. But as soon as she steps off the plane, Annie realizes her bug spray, feeble Spanish, and medical supplies won’t help her deal with her new feelings for Felipe—her best friend's older brother, who's much hotter than she remembers, and who also happens to be the doctor in charge of the trip.",Romance,Young Adult
When We Collided,31.77,1,In stock,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,"We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are stronger than anyone could ever know…Jonah never thought a girl like Vivi would come along.Vivi didn’t know Jonah would light up her world.Neither of them expected a summer like this…a summer that would rewrite their futures.In an unflinching story about new love, old wounds, and forces beyond our control, two teens find that when you collide with the right person at just the right time, it will change you forever.",Fiction,Young Adult
"We Love You, Charlie Freeman",50.27,5,In stock,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Callie--have been invited to the Toneybee Institute in rural Massachusetts to participate in a research experiment. They will live in an apartment on campus with Charlie, a young chimp abandoned by his mother. The Freemans were selected for the experiment because they know sign language; they are supposed to teach it to Charlie and welcome him as a member of their family. Isolated in their new, nearly all-white community not just by their race but by their strange living situation, the Freemans come undone. And when Charlotte",Fiction,Adult
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,"More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbaths outdoors, walking and wandering around familiar territory, seeking a deep intimacy only time could provide. These walks arranged themselves into poems and each year since he has completed a sequence dated by the year of its composition. Last year we collected the lot into a collection, This Day, the Sabbath Poems 1979-2013. This new sequence for the following year is one of the richest yet. This group provides a virtual syllabus for all of Mr. Berry’s cultural and agricultural work in concentrated form.",Poetry,Adult
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,"It all started with Nathanael Johnson’s decision to teach his daughter the name of every tree they passed on their walk to day care in San Francisco. This project turned into a quest to discover the secrets of the neighborhood’s flora and fauna, and yielded more than names and trivia: Johnson developed a relationship with his nonhuman neighbors. Johnson argues that learning to see the world afresh, like a child, shifts the way we think about nature: Instead of something distant and abstract, nature becomes real—all at once comical, annoying, and beautiful. This shift can add tremendous value to our lives, and it might",Non-Fiction,Adult
Unicorn Tracks,18.78,3,In stock,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,"After a savage attack drives her from her home, sixteen-year-old Mnemba finds a place in her cousin Tumelo’s successful safari business, where she quickly excels as a guide. Surrounding herself with nature and the mystical animals inhabiting the savannah not only allows Mnemba’s tracking skills to shine, it helps her to hide from the terrible memories that haunt her. Mnemba is employed to guide Mr. Harving and his daughter, Kara, through the wilderness as they study unicorns. The young women are drawn to each other, despite that fact that Kara is betrothed. During their research, they discover a conspiracy by a group",Fantasy,Young Adult
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,"Although we usually think of technology as something unique to modern times, our ancestors began to create the first technologies millions of years ago in the form of prehistoric tools and weapons. Over time, eight key technologies gradually freed us from the limitations of our animal origins. The fabrication of weapons, the mastery of fire, and the technologies of clothing and shelter radically restructured the human body, enabling us to walk upright, shed our body hair, and migrate out of tropical Africa. Symbolic communication transformed human evolution from a slow biological process into a fast cultural process.",Non-Fiction,Adult
